epoch,loss,channel_size,p_mutate,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,$p_{m}$,Meta Experiment Index,Experiment Index
64,1.0047826766967773,5,0.1,,,,,,,,0.1,1,0
65,1.042731523513794,5,0.1,,,,,,,,0.1,1,0
66,1.0204013586044312,5,0.1,1.0229296684265137,0.995,0.995,0.006076437421143055,0.016853220760822296,1.0,7.222239013367687e-35,0.1,1,0
67,1.000342607498169,5,0.1,,,,,,,,0.1,1,0
68,1.0221705436706543,5,0.1,,,,,,,,0.1,1,0
69,1.1063379049301147,5,0.1,,,,,,,,0.1,1,0
70,1.0181288719177246,5,0.1,1.0232234001159668,0.99375,0.99375,0.009597738273441792,0.011125761084258556,0.9987499713897705,0.00040000674198381603,0.1,1,0
1,3.9728150367736816,5,0.1,4.362199783325195,0.32125,0.32125,1.0989575386047363,0.45448970794677734,0.3668748736381531,1.3313058614730835,0.1,1,1
2,3.832085609436035,5,0.1,,,,,,,,0.1,1,1
3,3.8291757106781006,5,0.1,,,,,,,,0.1,1,1
4,3.8209002017974854,5,0.1,,,,,,,,0.1,1,1
5,3.825894594192505,5,0.1,,,,,,,,0.1,1,1
6,3.736698627471924,5,0.1,3.854435682296753,0.3025,0.3025,1.1056057214736938,0.8538292050361633,0.5525000095367432,0.1432020366191864,0.1,1,1
7,3.651571750640869,5,0.1,,,,,,,,0.1,1,1
8,3.700655698776245,5,0.1,,,,,,,,0.1,1,1
9,3.5747251510620117,5,0.1,,,,,,,,0.1,1,1
10,3.142082691192627,5,0.1,,,,,,,,0.1,1,1
11,2.7081656455993652,5,0.1,2.542205810546875,0.34375,0.34375,0.3939898610115051,1.1482146978378296,1.0,7.222239013367687e-35,0.1,1,1
12,2.323699951171875,5,0.1,,,,,,,,0.1,1,1
13,2.0562546253204346,5,0.1,,,,,,,,0.1,1,1
14,1.7562768459320068,5,0.1,,,,,,,,0.1,1,1
15,1.380927562713623,5,0.1,,,,,,,,0.1,1,1
16,1.3846604824066162,5,0.1,1.273876667022705,0.91,0.91,0.030415067449212074,0.24346165359020233,1.0,7.222239013367687e-35,0.1,1,1
17,1.2463139295578003,5,0.1,,,,,,,,0.1,1,1
18,1.2430830001831055,5,0.1,,,,,,,,0.1,1,1
19,1.23709237575531,5,0.1,,,,,,,,0.1,1,1
20,1.0668299198150635,5,0.1,,,,,,,,0.1,1,1
21,1.212681531906128,5,0.1,1.1084357500076294,0.9675,0.9675,0.009658083319664001,0.09877735376358032,1.0,7.222239013367687e-35,0.1,1,1
22,1.0652964115142822,5,0.1,,,,,,,,0.1,1,1
23,1.1824746131896973,5,0.1,,,,,,,,0.1,1,1
24,1.2122734785079956,5,0.1,,,,,,,,0.1,1,1
25,1.1068496704101562,5,0.1,,,,,,,,0.1,1,1
26,1.1098639965057373,5,0.1,1.0748090744018555,0.98375,0.98375,0.010064279660582542,0.06349518150091171,0.9993749856948853,0.00020000337099190801,0.1,1,1
27,1.1090823411941528,5,0.1,,,,,,,,0.1,1,1
28,1.1955146789550781,5,0.1,,,,,,,,0.1,1,1
29,1.0262202024459839,5,0.1,,,,,,,,0.1,1,1
30,1.0167418718338013,5,0.1,,,,,,,,0.1,1,1
31,1.0047874450683594,5,0.1,1.0350041389465332,0.99375,0.99375,0.006889636628329754,0.02811458148062229,1.0,7.222239013367687e-35,0.1,1,1
32,1.148590326309204,5,0.1,,,,,,,,0.1,1,1
33,1.073686122894287,5,0.1,,,,,,,,0.1,1,1
34,1.055161952972412,5,0.1,,,,,,,,0.1,1,1
35,1.0205554962158203,5,0.1,,,,,,,,0.1,1,1
36,1.0385408401489258,5,0.1,1.0212645530700684,0.9925,0.9925,0.0035467115230858326,0.01771826297044754,1.0,7.222239013367687e-35,0.1,1,1
37,1.0364274978637695,5,0.1,,,,,,,,0.1,1,1
38,1.0065412521362305,5,0.1,,,,,,,,0.1,1,1
39,1.0068728923797607,5,0.1,,,,,,,,0.1,1,1
40,1.008337140083313,5,0.1,,,,,,,,0.1,1,1
41,1.084083080291748,5,0.1,1.0339471101760864,0.99125,0.99125,0.009450987912714481,0.024496478959918022,1.0,7.222239013367687e-35,0.1,1,1
42,1.0057239532470703,5,0.1,,,,,,,,0.1,1,1
43,1.0306193828582764,5,0.1,,,,,,,,0.1,1,1
44,1.004976511001587,5,0.1,,,,,,,,0.1,1,1
45,1.0097395181655884,5,0.1,,,,,,,,0.1,1,1
46,1.1391093730926514,5,0.1,1.032586932182312,0.99625,0.99625,0.022176535800099373,0.010410869494080544,1.0,7.222239013367687e-35,0.1,1,1
47,1.0128743648529053,5,0.1,,,,,,,,0.1,1,1
48,1.024310827255249,5,0.1,,,,,,,,0.1,1,1
49,1.2543752193450928,5,0.1,,,,,,,,0.1,1,1
50,1.0137332677841187,5,0.1,,,,,,,,0.1,1,1
51,1.0010185241699219,5,0.1,1.0256621837615967,0.995,0.995,0.005605136975646019,0.018807129934430122,0.9993749856948853,0.00020000337099190801,0.1,1,1
52,1.0022883415222168,5,0.1,,,,,,,,0.1,1,1
53,1.0467751026153564,5,0.1,,,,,,,,0.1,1,1
